,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Name,Daily reward,Token name,Token price,Floor,APY,Days to breakeven,Days since mint
0,0.0,0.0,0.0,2021-12-11,Feudalz,3.0,$GOLDZ,3.751216981222509,0.1,878%,41,20
1,1.0,1.0,1.0,2021-12-11,Nil DAO,0.27,$NIL,19.495424891883275,0.1708,254%,143,99
2,2.0,2.0,2.0,2021-12-11,Bit Monsters,1.0,$BRAINZ,0.5300107396280126,0.004,250%,145,20
3,3.0,3.0,3.0,2021-12-11,Official Dormant Dragons,10.0,$SMOKE,0.2280715,0.075,227%,160,18
4,4.0,4.0,4.0,2021-12-11,Furballs,2400.0,$FUR,0.0039163,0.38,213%,170,37
5,5.0,5.0,5.0,2021-12-11,Sappy Seals,50.0,$PIXL,0.1109528192216444,0.2777,170%,214,102
6,6.0,6.0,6.0,2021-12-11,Crypto Zombiez,10.0,$FLESH,0.0690826592054706,0.029,140%,258,51
7,7.0,7.0,7.0,2021-12-11,Bees Deluxe,0.107,$HONEYD,26.203409279382864,0.179,129%,281,13
8,8.0,8.0,8.0,2021-12-11,Ether Orcs,16.0,$ZUG,0.8099513380714088,0.9,127%,287,56
9,9.0,9.0,9.0,2021-12-11,Bears Deluxe,1.0,$HONEYD,26.203409279382864,1.98,117%,309,13
10,10.0,10.0,10.0,2021-12-11,StackedToadz,50.0,$STACK,0.0178850888329359,0.059,108%,336,71
11,11.0,11.0,11.0,2021-12-11,Head DAO,5.0,$HEAD,0.4225892284886803,0.16942,102%,354,55
12,12.0,12.0,12.0,2021-12-11,Sneaky Vampire Syndicate,3.0,$BLOOD,1.19,0.6,52%,700,96
13,13.0,13.0,13.0,2021-12-11,Supducks,10.0,$VOLT,0.5470598050009745,1.0,48%,754,148
14,14.0,14.0,14.0,2021-12-11,Mutant Cats,10.0,$FISH,0.2018704087776152,0.37,47%,775,68
15,15.0,15.0,15.0,2021-12-11,Top Dog Beach Club,10.0,$SNAX,0.0047351792889737,0.141,2%,13395,158
16,16.0,16.0,16.0,2021-12-12,Feudalz,3.0,$GOLDZ,3.3592,0.195,422%,86,21
17,17.0,17.0,17.0,2021-12-12,Bit Monsters,1.0,$BRAINZ,0.49861,0.003,243%,149,21
18,18.0,18.0,18.0,2021-12-12,Official Dormant Dragons,10.0,$SMOKE,0.248561,0.08,230%,158,19
19,19.0,19.0,19.0,2021-12-12,Nil DAO,0.27,$NIL,18.8251,0.18,229%,159,100
20,20.0,20.0,20.0,2021-12-12,Furballs,2400.0,$FUR,0.00315,0.298,212%,171,38
21,21.0,21.0,21.0,2021-12-12,Crypto Zombiez,10.0,$FLESH,0.083874,0.022,199%,182,52
22,22.0,22.0,22.0,2021-12-12,Sappy Seals,50.0,$PIXL,0.088093,0.284,129%,281,103
23,23.0,23.0,23.0,2021-12-12,StackedToadz,50.0,$STACK,0.016965,0.05,114%,317,72
24,24.0,24.0,24.0,2021-12-12,Bees Deluxe,0.107,$HONEYD,20.793063,0.165,108%,335,14
25,25.0,25.0,25.0,2021-12-12,Bears Deluxe,1.0,$HONEYD,20.793063,1.75,103%,351,14
26,26.0,26.0,26.0,2021-12-12,Ether Orcs,16.0,$ZUG,0.642274,0.9,98%,369,57
27,27.0,27.0,27.0,2021-12-12,Head DAO,5.0,$HEAD,0.279763,0.149,75%,486,56
28,28.0,28.0,28.0,2021-12-12,Mutant Cats,10.0,$FISH,0.188602,0.349,45%,800,69
29,29.0,29.0,29.0,2021-12-12,Supducks,10.0,$VOLT,0.382234,0.98,33%,1079,149
30,30.0,30.0,30.0,2021-12-12,Sneaky Vampire Syndicate,3.0,$BLOOD,0.744873,0.789,24%,1491,96
31,31.0,31.0,31.0,2021-12-12,Top Dog Beach Club,10.0,$SNAX,0.004735,0.139,2%,13485,159
32,32.0,32.0,32.0,2021-12-13,Feudalz,3.0,$GOLDZ,3.081610810532922,0.1099,712%,51,22
33,33.0,33.0,33.0,2021-12-13,Bit Monsters,1.0,$BRAINZ,0.686273,0.002,388%,93,22
34,34.0,34.0,34.0,2021-12-13,Official Dormant Dragons,10.0,$SMOKE,0.2236712,0.07499,239%,152,20
35,35.0,35.0,35.0,2021-12-13,Furballs,2400.0,$FUR,0.0033713,0.35,213%,170,39
36,36.0,36.0,36.0,2021-12-13,Nil DAO,0.27,$NIL,17.474856653189235,0.23,185%,196,101
37,37.0,37.0,37.0,2021-12-13,Sappy Seals,50.0,$PIXL,0.0808369502646854,0.215,169%,215,104
38,38.0,38.0,38.0,2021-12-13,Crypto Zombiez,10.0,$FLESH,0.0582844561876836,0.0195,162%,224,53
39,39.0,39.0,39.0,2021-12-13,Ether Orcs,16.0,$ZUG,0.7333255548411246,0.9,123%,295,58
40,40.0,40.0,40.0,2021-12-13,Bees Deluxe,0.107,$HONEYD,18.275054572153245,0.15,114%,319,15
41,41.0,41.0,41.0,2021-12-13,Head DAO,5.0,$HEAD,0.3720176349826291,0.145,111%,326,57
42,42.0,42.0,42.0,2021-12-13,Bears Deluxe,1.0,$HONEYD,18.275054572153245,1.83,95%,382,15
43,43.0,43.0,43.0,2021-12-13,Anonymice,1.0,$CHEETH,13.9176,1.5,88%,412,88
44,44.0,44.0,44.0,2021-12-13,Mutant Cats,10.0,$FISH,0.2026968218313434,0.3089,60%,605,70
45,45.0,45.0,45.0,2021-12-13,StackedToadz,25.0,$STACK,0.0159386753645875,0.05,59%,618,73
46,46.0,46.0,46.0,2021-12-13,Sneaky Vampire Syndicate,3.0,$BLOOD,1.442569,0.75,54%,670,98
47,47.0,47.0,47.0,2021-12-13,Supducks,10.0,$VOLT,0.3029190889102969,0.98,29%,1245,150
48,48.0,48.0,48.0,2021-12-13,NeoTokyo Citizens,1.0,$BYTES,89.55,56.0,15%,2371,7
49,49.0,49.0,49.0,2021-12-13,Top Dog Beach Club,10.0,$SNAX,0.0047351792889737,0.129,3%,11527,160
50,50.0,50.0,14.0,2021-12-14,Feudalz,3.0,$GOLDZ,3.112014667643366,0.11,717%,50,23
51,51.0,51.0,13.0,2021-12-14,Bit Monsters,1.0,$BRAINZ,0.563072,0.003,300%,121,23
52,52.0,52.0,16.0,2021-12-14,Furballs,2400.0,$FUR,0.00453854,0.34,294%,123,40
53,53.0,53.0,11.0,2021-12-14,Nil DAO,0.27,$NIL,19.36865957259605,0.2333,202%,180,102
54,54.0,54.0,15.0,2021-12-14,Official Dormant Dragons,10.0,$SMOKE,0.18828,0.082,186%,195,21
55,55.0,55.0,1.0,2021-12-14,Crypto Zombiez,10.0,$FLESH,0.0668608166550277,0.02,183%,198,54
56,56.0,56.0,0.0,2021-12-14,Sappy Seals,50.0,$PIXL,0.0727673747642476,0.2599999,127%,286,105
57,57.0,57.0,18.0,2021-12-14,Bees Deluxe,0.107,$HONEYD,20.601898222123896,0.1599,121%,301,16
58,58.0,58.0,4.0,2021-12-14,Head DAO,5.0,$HEAD,0.3067547153000969,0.12,109%,334,58
59,59.0,59.0,17.0,2021-12-14,Bears Deluxe,1.0,$HONEYD,20.601898222123896,1.989,98%,369,16
60,60.0,60.0,2.0,2021-12-14,Ether Orcs,16.0,$ZUG,0.6289879564097235,0.97,98%,371,58
61,61.0,61.0,3.0,2021-12-14,StackedToadz,25.0,$STACK,0.0169812235174418,0.04,74%,491,73
62,62.0,62.0,5.0,2021-12-14,Mutant Cats,10.0,$FISH,0.1884030253151401,0.289,59%,612,71
63,63.0,63.0,7.0,2021-12-14,Anonymice,1.0,$CHEETH,7.209969964329815,1.49,46%,792,89
64,64.0,64.0,10.0,2021-12-14,Supducks,10.0,$VOLT,0.3822344845981666,0.9,40%,908,151
65,65.0,65.0,8.0,2021-12-14,Sneaky Vampire Syndicate,3.0,$BLOOD,0.89751,0.749,33%,1077,98
66,66.0,66.0,20.0,2021-12-14,NeoTokyo Citizens,1.0,$BYTES,93.96884004072214,43.99,20%,1778,8
